,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Stratification2,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
447258,2017,2017,MT,Montana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.2,34.2,,,32.7,35.7,Overall,Overall,,POINT (-109.42442064499971 47.06652897200047),30,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447261,2012,2012,MS,Mississippi,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,42.7,42.7,,,41.4,44.0,Race/Ethnicity,"White, non-Hispanic",,POINT (-89.53803082499968 32.745510099000455),28,DIS,DIS1_0,CRDPREV,RACE,WHT
447262,2017,2017,LA,Louisiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-92.44568007099969 31.31266064400046),22,DIS,DIS1_0,CRDPREV,RACE,AIAN
447264,2014,2014,PA,Pennsylvania,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,43.5,43.5,,,39.9,47.1,Race/Ethnicity,Hispanic,,POINT (-77.86070029399963 40.79373015200048),42,DIS,DIS1_0,CRDPREV,RACE,HIS
447273,2011,2011,PR,Puerto Rico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-66.590149 18.220833),72,DIS,DIS1_0,CRDPREV,RACE,ASN
447276,2014,2014,LA,Louisiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.3,40.3,,,39.4,41.2,Overall,Overall,,POINT (-92.44568007099969 31.31266064400046),22,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447280,2014,2014,WV,West Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,44.2,44.2,,,43.0,45.4,Race/Ethnicity,"White, non-Hispanic",,POINT (-80.71264013499967 38.66551020200046),54,DIS,DIS1_0,CRDPREV,RACE,WHT
447284,2016,2016,KY,Kentucky,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,42.2,42.2,,,40.9,43.4,Gender,Female,,POINT (-84.77497104799966 37.645970271000465),21,DIS,DIS1_0,CRDPREV,GENDER,GENF
447285,2013,2013,NY,New York,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.6,36.6,,,35.2,38.0,Race/Ethnicity,"Black, non-Hispanic",,POINT (-75.54397042699964 42.82700103200045),36,DIS,DIS1_0,CRDPREV,RACE,BLK
447287,2017,2017,WV,West Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-80.71264013499967 38.66551020200046),54,DIS,DIS1_0,CRDPREV,RACE,ASN
447290,2013,2013,RI,Rhode Island,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.7,37.7,,,35.6,39.8,Gender,Female,,POINT (-71.52247031399963 41.70828019300046),44,DIS,DIS1_0,CRDPREV,GENDER,GENF
447292,2014,2014,AK,Alaska,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,41.1,41.1,,,38.7,43.5,Overall,Overall,,POINT (-147.72205903599973 64.84507995700051),2,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447293,2015,2015,MD,Maryland,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-76.60926011099963 39.29058096400047),24,DIS,DIS1_0,CRDPREV,RACE,AIAN
447294,2015,2015,VT,Vermont,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-72.51764079099962 43.62538123900049),50,DIS,DIS1_0,CRDPREV,RACE,ASN
447296,2011,2011,US,United States,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.6,36.6,,,36.5,36.7,Overall,Overall,,,59,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447305,2019,2019,NV,Nevada,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.1,34.1,,,32.9,35.3,Race/Ethnicity,"White, non-Hispanic",,POINT (-117.07184056399967 39.493240390000494),32,DIS,DIS1_0,CRDPREV,RACE,WHT
447308,2012,2012,AR,Arkansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,41.4,41.4,,,40.4,42.4,Overall,Overall,,POINT (-92.27449074299966 34.74865012400045),5,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447311,2015,2015,NH,New Hampshire,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-71.50036091999965 43.65595011300047),33,DIS,DIS1_0,CRDPREV,RACE,ASN
447316,2010,2010,WV,West Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,43.3,43.3,,,41.9,44.7,Race/Ethnicity,"White, non-Hispanic",,POINT (-80.71264013499967 38.66551020200046),54,DIS,DIS1_0,CRDPREV,RACE,WHT
447318,2012,2012,CA,California,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,38.6,38.6,,,38.2,39.0,Gender,Female,,POINT (-120.99999953799971 37.63864012300047),6,DIS,DIS1_0,CRDPREV,GENDER,GENF
447331,2019,2019,MT,Montana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,30.8,30.8,,,16.2,45.3,Race/Ethnicity,Hispanic,,POINT (-109.42442064499971 47.06652897200047),30,DIS,DIS1_0,CRDPREV,RACE,HIS
447332,2014,2014,CT,Connecticut,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.6,33.6,,,32.5,34.7,Gender,Female,,POINT (-72.64984095199964 41.56266102000046),9,DIS,DIS1_0,CRDPREV,GENDER,GENF
447333,2015,2015,MD,Maryland,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,31.2,31.2,,,30.5,31.9,Race/Ethnicity,"White, non-Hispanic",,POINT (-76.60926011099963 39.29058096400047),24,DIS,DIS1_0,CRDPREV,RACE,WHT
447334,2013,2013,MS,Mississippi,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,50.1,50.1,,,47.4,52.8,Race/Ethnicity,"Black, non-Hispanic",,POINT (-89.53803082499968 32.745510099000455),28,DIS,DIS1_0,CRDPREV,RACE,BLK
447337,2013,2013,GA,Georgia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.1,37.1,,,36.3,37.9,Race/Ethnicity,"White, non-Hispanic",,POINT (-83.62758034599966 32.83968109300048),13,DIS,DIS1_0,CRDPREV,RACE,WHT
447340,2013,2013,MA,Massachusetts,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.0,37.0,,,32.2,41.8,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-72.08269067499964 42.27687047000046),25,DIS,DIS1_0,CRDPREV,RACE,ASN
447341,2013,2013,TX,Texas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.3,40.3,,,39.7,40.8,Gender,Female,,POINT (-99.42677020599967 31.827240407000488),48,DIS,DIS1_0,CRDPREV,GENDER,GENF
447342,2015,2015,MS,Mississippi,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-89.53803082499968 32.745510099000455),28,DIS,DIS1_0,CRDPREV,RACE,AIAN
447350,2018,2018,CO,Colorado,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,30.2,30.2,,,29.3,31.2,Gender,Female,,POINT (-106.13361092099967 38.843840757000464),8,DIS,DIS1_0,CRDPREV,GENDER,GENF
447352,2013,2013,NH,New Hampshire,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.6,34.6,,,33.1,36.1,Overall,Overall,,POINT (-71.50036091999965 43.65595011300047),33,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447354,2017,2017,RI,Rhode Island,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.1,33.1,,,30.7,35.5,Gender,Female,,POINT (-71.52247031399963 41.70828019300046),44,DIS,DIS1_0,CRDPREV,GENDER,GENF
447359,2015,2015,NJ,New Jersey,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,25.6,25.6,,,23.0,28.2,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-74.27369128799967 40.13057004800049),34,DIS,DIS1_0,CRDPREV,RACE,ASN
447361,2015,2015,NY,New York,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.4,33.4,,,33.0,33.8,Overall,Overall,,POINT (-75.54397042699964 42.82700103200045),36,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447369,2018,2018,TX,Texas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.2,36.2,,,35.6,36.8,Gender,Male,,POINT (-99.42677020599967 31.827240407000488),48,DIS,DIS1_0,CRDPREV,GENDER,GENM
447371,2013,2013,WA,Washington,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.7,36.7,,,35.9,37.5,Race/Ethnicity,"White, non-Hispanic",,POINT (-120.47001078999972 47.52227862900048),53,DIS,DIS1_0,CRDPREV,RACE,WHT
447372,2017,2017,AR,Arkansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-92.27449074299966 34.74865012400045),5,DIS,DIS1_0,CRDPREV,RACE,AIAN
447379,2012,2012,OK,Oklahoma,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.8,40.8,,,39.9,41.7,Overall,Overall,,POINT (-97.52107021399968 35.47203135600046),40,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447380,2017,2017,MI,Michigan,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.6,40.6,,,36.2,45.0,Race/Ethnicity,Hispanic,,POINT (-84.71439026999968 44.6613195430005),26,DIS,DIS1_0,CRDPREV,RACE,HIS
447382,2012,2012,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.0,40.0,,,33.9,46.1,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-120.15503132599969 44.56744942400047),41,DIS,DIS1_0,CRDPREV,RACE,ASN
447387,2016,2016,IL,Illinois,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.6,34.6,,,34.0,35.2,Gender,Female,,POINT (-88.99771017799969 40.48501028300046),17,DIS,DIS1_0,CRDPREV,GENDER,GENF
447391,2011,2011,MD,Maryland,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-76.60926011099963 39.29058096400047),24,DIS,DIS1_0,CRDPREV,RACE,AIAN
447393,2011,2011,HI,Hawaii,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.6,34.6,,,32.7,36.6,Gender,Female,,POINT (-157.85774940299973 21.304850435000446),15,DIS,DIS1_0,CRDPREV,GENDER,GENF
447400,2013,2013,LA,Louisiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-92.44568007099969 31.31266064400046),22,DIS,DIS1_0,CRDPREV,RACE,AIAN
447401,2015,2015,ME,Maine,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-68.98503133599962 45.254228894000505),23,DIS,DIS1_0,CRDPREV,RACE,ASN
447403,2013,2013,NJ,New Jersey,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.6,32.6,,,31.9,33.3,Race/Ethnicity,"White, non-Hispanic",,POINT (-74.27369128799967 40.13057004800049),34,DIS,DIS1_0,CRDPREV,RACE,WHT
447404,2015,2015,KS,Kansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-98.20078122699965 38.34774030000045),20,DIS,DIS1_0,CRDPREV,RACE,AIAN
447414,2017,2017,IL,Illinois,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-88.99771017799969 40.48501028300046),17,DIS,DIS1_0,CRDPREV,RACE,AIAN
447415,2011,2011,NE,Nebraska,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-99.36572062299967 41.6410409880005),31,DIS,DIS1_0,CRDPREV,RACE,ASN
447416,2015,2015,MA,Massachusetts,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,43.6,43.6,,,39.2,48.0,Race/Ethnicity,"Black, non-Hispanic",,POINT (-72.08269067499964 42.27687047000046),25,DIS,DIS1_0,CRDPREV,RACE,BLK
447425,2015,2015,US,United States,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,35.4,35.4,,,35.3,35.5,Overall,Overall,,,59,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447429,2015,2015,HI,Hawaii,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.0,33.0,,,31.5,34.5,Overall,Overall,,POINT (-157.85774940299973 21.304850435000446),15,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447430,2010,2010,DE,Delaware,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-75.57774116799965 39.008830667000495),10,DIS,DIS1_0,CRDPREV,RACE,ASN
447439,2010,2010,CA,California,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.8,36.8,,,36.4,37.2,Overall,Overall,,POINT (-120.99999953799971 37.63864012300047),6,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447444,2010,2010,PA,Pennsylvania,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,46.7,46.7,,,41.5,51.8,Race/Ethnicity,Hispanic,,POINT (-77.86070029399963 40.79373015200048),42,DIS,DIS1_0,CRDPREV,RACE,HIS
447447,2011,2011,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-120.15503132599969 44.56744942400047),41,DIS,DIS1_0,CRDPREV,RACE,AIAN
447448,2011,2011,WI,Wisconsin,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.3,32.3,,,21.4,43.2,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-89.81637074199966 44.39319117400049),55,DIS,DIS1_0,CRDPREV,RACE,ASN
447449,2016,2016,ME,Maine,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.1,33.1,,,31.8,34.4,Race/Ethnicity,"White, non-Hispanic",,POINT (-68.98503133599962 45.254228894000505),23,DIS,DIS1_0,CRDPREV,RACE,WHT
447452,2016,2016,CA,California,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.7,36.7,,,36.2,37.2,Gender,Female,,POINT (-120.99999953799971 37.63864012300047),6,DIS,DIS1_0,CRDPREV,GENDER,GENF
447455,2011,2011,MN,Minnesota,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.0,32.0,,,31.3,32.7,Overall,Overall,,POINT (-94.79420050299967 46.35564873600049),27,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447458,2011,2011,IA,Iowa,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.4,33.4,,,32.5,34.3,Race/Ethnicity,"White, non-Hispanic",,POINT (-93.81649055599968 42.46940091300047),19,DIS,DIS1_0,CRDPREV,RACE,WHT
447459,2011,2011,IN,Indiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.9,37.9,,,37.1,38.7,Overall,Overall,,POINT (-86.14996019399968 39.766910452000445),18,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447462,2019,2019,LA,Louisiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,35.3,35.3,,,29.1,41.4,Race/Ethnicity,Hispanic,,POINT (-92.44568007099969 31.31266064400046),22,DIS,DIS1_0,CRDPREV,RACE,HIS
447468,2011,2011,WI,Wisconsin,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.9,32.9,,,32.1,33.7,Gender,Female,,POINT (-89.81637074199966 44.39319117400049),55,DIS,DIS1_0,CRDPREV,GENDER,GENF
447473,2011,2011,HI,Hawaii,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.6,34.6,,,32.9,36.3,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-157.85774940299973 21.304850435000446),15,DIS,DIS1_0,CRDPREV,RACE,ASN
447483,2015,2015,ID,Idaho,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,39.7,39.7,,,37.3,42.0,Gender,Male,,POINT (-114.3637300419997 43.682630005000476),16,DIS,DIS1_0,CRDPREV,GENDER,GENM
447486,2017,2017,NH,New Hampshire,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,POINT (-71.50036091999965 43.65595011300047),33,DIS,DIS1_0,CRDPREV,RACE,BLK
447489,2013,2013,KY,Kentucky,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,41.9,41.9,,,41.0,42.8,Race/Ethnicity,"White, non-Hispanic",,POINT (-84.77497104799966 37.645970271000465),21,DIS,DIS1_0,CRDPREV,RACE,WHT
447497,2019,2019,KS,Kansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.5,33.5,,,32.6,34.5,Race/Ethnicity,"White, non-Hispanic",,POINT (-98.20078122699965 38.34774030000045),20,DIS,DIS1_0,CRDPREV,RACE,WHT
447498,2011,2011,WY,Wyoming,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-108.10983035299967 43.23554134300048),56,DIS,DIS1_0,CRDPREV,RACE,ASN
447499,2018,2018,AR,Arkansas,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,43.8,43.8,,,32.1,55.6,Race/Ethnicity,Hispanic,,POINT (-92.27449074299966 34.74865012400045),5,DIS,DIS1_0,CRDPREV,RACE,HIS
447501,2015,2015,SC,South Carolina,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.4,37.4,,,36.6,38.2,Overall,Overall,,POINT (-81.04537120699968 33.998821303000454),45,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447502,2018,2018,SC,South Carolina,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.1,33.1,,,32.3,33.9,Race/Ethnicity,"White, non-Hispanic",,POINT (-81.04537120699968 33.998821303000454),45,DIS,DIS1_0,CRDPREV,RACE,WHT
447503,2012,2012,AK,Alaska,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,41.5,41.5,,,37.6,45.3,Gender,Male,,POINT (-147.72205903599973 64.84507995700051),2,DIS,DIS1_0,CRDPREV,GENDER,GENM
447504,2015,2015,WI,Wisconsin,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,31.8,31.8,,,30.9,32.8,Gender,Female,,POINT (-89.81637074199966 44.39319117400049),55,DIS,DIS1_0,CRDPREV,GENDER,GENF
447512,2017,2017,LA,Louisiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.7,37.7,,,36.5,38.9,Race/Ethnicity,"White, non-Hispanic",,POINT (-92.44568007099969 31.31266064400046),22,DIS,DIS1_0,CRDPREV,RACE,WHT
447526,2015,2015,OH,Ohio,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,19.8,19.8,,,15.9,23.7,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-82.40426005599966 40.06021014100048),39,DIS,DIS1_0,CRDPREV,RACE,ASN
447527,2019,2019,VA,Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,31.3,31.3,,,29.8,32.7,Gender,Male,,POINT (-78.45789046299967 37.54268067400045),51,DIS,DIS1_0,CRDPREV,GENDER,GENM
447528,2017,2017,HI,Hawaii,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,32.9,32.9,,,30.8,35.1,Gender,Male,,POINT (-157.85774940299973 21.304850435000446),15,DIS,DIS1_0,CRDPREV,GENDER,GENM
447530,2015,2015,VT,Vermont,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,33.6,33.6,,,31.8,35.4,Overall,Overall,,POINT (-72.51764079099962 43.62538123900049),50,DIS,DIS1_0,CRDPREV,OVERALL,OVR
